City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Florianopolis,BR,71.55,few clouds,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
2,Mubi,NG,72.52,light rain,10.2676,13.2644,LASVEGAS BAR AND MOTEL
3,Comonfort,MX,79.29,overcast clouds,20.7167,-100.7667,El Kiosco Verde
7,Norman Wells,CA,70.11,overcast clouds,65.282,-126.8329,Heritage Hotel
9,Port-Gentil,GA,73.94,overcast clouds,-0.7193,8.7815,Fengshui Residence
13,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
31,Enugu,NG,71.96,overcast clouds,6.4402,7.4943,Bestchoice Hotel & Suites Enugu
33,Madang,PG,75.67,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
40,Puerto Ayora,EC,76.96,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
42,Hambantota,LK,79.34,overcast clouds,6.1241,81.1185,Bungalow 63
43,Torbay,CA,73.76,scattered clouds,47.6666,-52.7314,Gallows Cove
45,Fukuma,JP,77.29,overcast clouds,33.7667,130.4667,Masago
49,Rikitea,PF,73.35,light rain,-23.1203,-134.9692,People ThankYou
58,Prudentopolis,BR,73.83,broken clouds,-25.2131,-50.9778,Mayná Hotel Prudentópolis
60,Zhezkazgan,KZ,78.58,few clouds,47.8043,67.7144,Hotel Zumrat
61,Hasaki,JP,73.8,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
62,Castro,BR,71.38,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
64,Atuona,PF,77.76,broken clouds,-9.8,-139.0333,Villa Enata
70,Soyo,AO,70.27,clear sky,-6.1349,12.3689,Hospedaria ndozi'ame
72,Komsomolskiy,UZ,77.72,clear sky,40.4272,71.7189,Ikathouse
76,Touros,BR,75.79,light rain,-5.1989,-35.4608,INN NEW HORIZON
83,Santa Catalina,PH,77.77,overcast clouds,9.3337,122.8637,BreakWater Beach Sta Catalina Negros Oriental
84,Mersing,MY,78.3,broken clouds,2.4312,103.8405,Timotel Hotel
92,Ponta Do Sol,PT,73.0,scattered clouds,32.6667,-17.1,Hotel do Campo
101,Vaini,TO,78.96,scattered clouds,-21.2,-175.2,Keleti Beach Resort
102,Lufilufi,WS,76.78,scattered clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
103,Kieta,PG,78.71,light rain,-6.2167,155.6333,Uruna Bay Retreat
105,Mahmudia,RO,72.14,scattered clouds,45.0833,29.0833,Hotel Mon Jardin
106,Bayir,TR,73.92,clear sky,37.2687,28.2167,Hotel Babadag
107,Tchollire,CM,72.57,moderate rain,8.4022,14.1698,"Auberge ""l'amicale"""
116,Yamada,JP,70.9,overcast clouds,39.4667,141.95,Iroha-ya Inn
118,Kismayo,SO,75.6,overcast clouds,-0.3582,42.5454,Agan-Hotel
122,Changping,CN,73.04,overcast clouds,40.2186,116.2197,Huachang Hotel
124,Chama,CH,73.56,clear sky,47.1821,8.4636,City Garden Hotel
125,Sao Filipe,CV,75.79,few clouds,14.8961,-24.4956,Hotel Xaguate
132,Goiatuba,BR,76.51,scattered clouds,-18.0125,-49.3547,Hotel Barrocos
138,Manokwari,ID,77.36,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
144,Bitung,ID,76.05,overcast clouds,1.4451,125.1824,K2 Lembeh
147,Arraial Do Cabo,BR,73.26,clear sky,-22.9661,-42.0278,Pousada Porto Praia
149,Bathsheba,BB,77.61,broken clouds,13.2167,-59.5167,Atlantis Hotel
152,La Baule-Escoublac,FR,78.46,clear sky,47.2922,-2.364,Hôtel Barrière Le Royal La Baule
153,Arriana,GR,76.35,clear sky,41.0833,25.7,RAPTOR GROUP LYKEIO O.E.
160,Faanui,PF,76.96,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
164,Biu,NG,71.53,overcast clouds,10.6129,12.1946,Emir's Palace
165,Matara,LK,76.91,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
173,Hauterive,FR,74.16,clear sky,46.0901,3.4459,Aletti Palace Hotel
174,Gambela,ET,72.34,overcast clouds,8.25,34.5833,Solomon Debebe Hotel
175,Maceio,BR,76.44,overcast clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
