City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Florianopolis,BR,-27.6146,-48.5012,71.55,83,20,8.05,few clouds
1,Tera,NE,14.0078,0.7531,82.35,52,100,1.74,overcast clouds
2,Mubi,NG,10.2676,13.2644,72.52,88,100,2.8,light rain
3,Comonfort,MX,20.7167,-100.7667,79.29,47,100,7.78,overcast clouds
4,Thompson,CA,55.7435,-97.8558,90.88,23,100,2.89,overcast clouds
5,Northam,GB,51.0333,-4.2167,68.61,68,100,3.53,overcast clouds
6,Cherskiy,RU,68.75,161.3,48.87,59,12,9.6,few clouds
7,Norman Wells,CA,65.282,-126.8329,70.11,45,99,13.13,overcast clouds
8,Kaitangata,NZ,-46.2817,169.8464,37.11,74,100,6.02,overcast clouds
9,Port-Gentil,GA,-0.7193,8.7815,73.94,81,100,11.56,overcast clouds
10,Ewo,CG,-0.8725,14.8206,86.0,35,91,2.75,overcast clouds
11,Buala,SB,-8.145,159.5921,80.1,81,80,9.44,light rain
12,Maketu,NZ,-37.7667,176.45,51.03,100,0,2.84,clear sky
13,Avarua,CK,-21.2078,-159.775,77.05,69,75,14.97,broken clouds
14,Pisco,PE,-13.7,-76.2167,66.25,68,3,17.27,haze
15,Butaritari,KI,3.0707,172.7902,80.47,78,100,16.4,light rain
16,Comodoro Rivadavia,AR,-45.8667,-67.5,37.26,65,0,8.05,clear sky
17,Saskylakh,RU,71.9167,114.0833,50.85,71,72,8.34,broken clouds
18,Port Alfred,ZA,-33.5906,26.891,67.6,45,1,7.9,clear sky
19,Port Augusta,AU,-32.5,137.7667,49.1,94,25,7.4,scattered clouds
20,Talpa,MX,28.8257,-111.6257,103.15,50,12,7.0,few clouds
21,Qaanaaq,GL,77.484,-69.3632,50.72,70,23,5.12,few clouds
22,Aksarka,RU,66.5606,67.7975,51.71,66,6,5.91,clear sky
23,Kapaa,US,22.0752,-159.319,84.52,71,20,14.97,light rain
24,Busselton,AU,-33.65,115.3333,57.15,74,94,7.61,overcast clouds
25,Vardo,NO,70.3705,31.1107,53.58,94,100,6.91,light intensity drizzle
26,Tiksi,RU,71.6872,128.8694,36.77,96,78,10.36,broken clouds
27,Verkhovazhye,RU,60.7472,42.0465,53.38,91,3,5.14,clear sky
28,Iskateley,RU,67.6803,53.1512,66.79,93,100,10.65,light rain
29,New Norfolk,AU,-42.7826,147.0587,51.93,87,100,1.01,moderate rain
30,Georgetown,MY,5.4112,100.3354,82.33,88,20,3.44,few clouds
31,Enugu,NG,6.4402,7.4943,71.96,93,100,6.26,overcast clouds
32,Pevek,RU,69.7008,170.3133,36.3,91,100,5.59,overcast clouds
33,Madang,PG,-5.2246,145.7966,75.67,92,99,3.09,overcast clouds
34,Muros,ES,42.7762,-9.0603,68.09,87,69,3.74,broken clouds
35,Saint-Philippe,RE,-21.3585,55.7679,68.22,76,35,13.6,scattered clouds
36,Ballina,AU,-28.8667,153.5667,54.01,92,2,8.43,clear sky
37,Ushuaia,AR,-54.8,-68.3,40.66,60,20,2.3,few clouds
38,Hithadhoo,MV,-0.6,73.0833,82.83,78,50,15.12,scattered clouds
39,Hilo,US,19.7297,-155.09,82.27,94,100,8.05,moderate rain
40,Puerto Ayora,EC,-0.7393,-90.3518,76.96,89,39,7.0,scattered clouds
41,Lima,PE,-12.0432,-77.0282,61.9,80,75,11.5,broken clouds
42,Hambantota,LK,6.1241,81.1185,79.34,82,100,16.2,overcast clouds
43,Torbay,CA,47.6666,-52.7314,73.76,56,35,14.83,scattered clouds
44,Albany,US,42.6001,-73.9662,86.88,57,100,5.39,overcast clouds
45,Fukuma,JP,33.7667,130.4667,77.29,79,100,7.83,overcast clouds
46,Mataura,NZ,-46.1927,168.8643,47.48,82,100,4.07,overcast clouds
47,Kholm,RU,59.2667,32.85,50.29,91,45,5.03,scattered clouds
48,Tazmalt,DZ,36.3868,4.3989,82.56,40,0,4.5,clear sky
49,Rikitea,PF,-23.1203,-134.9692,73.35,76,100,16.02,light rain
50,Carnarvon,AU,-24.8667,113.6333,67.55,53,100,9.15,overcast clouds
51,Hit,IQ,33.6416,42.8251,91.45,16,0,11.39,clear sky
52,Iqaluit,CA,63.7506,-68.5145,63.7,45,100,18.99,overcast clouds
53,Narsaq,GL,60.9167,-46.05,52.02,77,96,5.1,overcast clouds
54,Carbonia,IT,39.1672,8.5222,82.0,58,0,4.09,clear sky
