City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Yellowknife,CA,2022-07-12 00:31:36,62.456,-114.3525,73.92,46,20,10.36
1,Port Alfred,ZA,2022-07-12 00:34:55,-33.5906,26.891,57.06,73,0,9.6
2,Barrow,US,2022-07-12 00:34:56,71.2906,-156.7887,37.42,87,100,12.66
3,Kaitangata,NZ,2022-07-12 00:34:56,-46.2817,169.8464,45.55,88,100,17.07
4,Mataura,NZ,2022-07-12 00:34:56,-46.1927,168.8643,45.48,87,100,10.6
5,Rikitea,PF,2022-07-12 00:34:57,-23.1203,-134.9692,74.7,73,0,12.37
6,Cherskiy,RU,2022-07-12 00:33:13,68.75,161.3,78.42,33,91,13.06
7,Hasaki,JP,2022-07-12 00:34:57,35.7333,140.8333,81.28,83,100,4.12
8,Avarua,CK,2022-07-12 00:34:58,-21.2078,-159.775,77.05,65,100,4.61
9,Punta Arenas,CL,2022-07-12 00:30:16,-53.15,-70.9167,30.31,80,75,12.66
10,Albany,US,2022-07-12 00:32:15,42.6001,-73.9662,79.39,57,0,5.53
11,Bluff,NZ,2022-07-12 00:34:58,-46.6,168.3333,45.81,80,100,23.04
12,Bosaso,SO,2022-07-12 00:34:59,11.2842,49.1816,86.0,42,96,19.95
13,Busselton,AU,2022-07-12 00:34:59,-33.65,115.3333,57.51,80,94,9.44
14,Chokurdakh,RU,2022-07-12 00:34:59,70.6333,147.9167,54.27,92,100,13.24
15,Puerto Ayora,EC,2022-07-12 00:35:00,-0.7393,-90.3518,70.56,87,61,5.99
16,Half Moon Bay,US,2022-07-12 00:31:36,37.4636,-122.4286,92.53,80,100,23.02
17,Lagoa,PT,2022-07-12 00:35:00,39.05,-27.9833,67.44,88,59,9.66
18,San Patricio,US,2022-07-12 00:35:00,28.017,-97.5169,96.19,49,12,14.65
19,Esperance,AU,2022-07-12 00:35:01,-33.8667,121.9,54.36,70,0,16.4
20,Saint-Pierre,RE,2022-07-12 00:35:01,-21.3393,55.4781,69.91,72,0,6.91
21,Mar Del Plata,AR,2022-07-12 00:35:02,-38.0023,-57.5575,45.09,75,40,18.01
